menu_id,parent_menu_id,menu_name,menu_url,sort_order,screen_id
01KY3HYG100000000000000001,,시스템 관리,,900,
01KY3HYG100000000000000002,01KY3HYG100000000000000001,사용자 관리,/system/users,10,SYS-001
01KY3HYG100000000000000003,01KY3HYG100000000000000001,역할 관리,/system/roles,20,SYS-002
01KY3HYG100000000000000004,01KY3HYG100000000000000001,메뉴 관리,/system/menus,30,SYS-003
01KY3HYG100000000000000005,01KY3HYG100000000000000001,공통코드 관리,/system/common-codes,40,SYS-004
01KY3HYG100000000000000006,01KY3HYG100000000000000001,조직 관리,/system/organizations,50,SYS-005
